CHI,EEC,STAT,Q,ERROR,BinSize
2.7,1.3,0.03,91.2,0.03,1.8
4.5,1.38,0.03,91.2,0.03,1.8
6.3,1.197,0.016,91.2,0.016,1.8
8.1,0.974,0.017,91.2,0.017,1.8
9.9,0.796,0.019,91.2,0.019,1.8
11.7,0.661,0.019,91.2,0.019,1.8
13.5,0.553,0.016,91.2,0.016,1.8
15.3,0.461,0.011,91.2,0.011,1.8
17.1,0.39,0.011,91.2,0.011,1.8
18.9,0.334,0.011,91.2,0.011,1.8
20.7,0.289,0.01,91.2,0.01,1.8
22.5,0.255,0.011,91.2,0.011,1.8
24.3,0.227,0.009,91.2,0.009,1.8
26.1,0.206,0.007,91.2,0.007,1.8
27.9,0.188,0.007,91.2,0.007,1.8
29.7,0.174,0.007,91.2,0.007,1.8
31.5,0.161,0.006,91.2,0.006,1.8
33.3,0.15,0.006,91.2,0.006,1.8
35.1,0.141,0.004,91.2,0.004,1.8
36.9,0.133,0.005,91.2,0.005,1.8
38.7,0.127,0.004,91.2,0.004,1.8
40.5,0.121,0.004,91.2,0.004,1.8
42.3,0.116,0.004,91.2,0.004,1.8
44.1,0.11,0.003,91.2,0.003,1.8
45.9,0.106,0.003,91.2,0.003,1.8
47.7,0.102,0.003,91.2,0.003,1.8
49.5,0.099,0.002,91.2,0.002,1.8
51.3,0.096,0.003,91.2,0.003,1.8
53.1,0.093,0.002,91.2,0.002,1.8
54.9,0.091,0.003,91.2,0.003,1.8
56.7,0.089,0.002,91.2,0.002,1.8
58.5,0.087,0.002,91.2,0.002,1.8
60.3,0.085,0.003,91.2,0.003,1.8
62.1,0.083,0.003,91.2,0.003,1.8
63.9,0.081,0.003,91.2,0.003,1.8
65.7,0.081,0.003,91.2,0.003,1.8
67.5,0.079,0.003,91.2,0.003,1.8
69.3,0.078,0.002,91.2,0.002,1.8
71.1,0.077,0.002,91.2,0.002,1.8
72.9,0.076,0.002,91.2,0.002,1.8
74.7,0.076,0.002,91.2,0.002,1.8
76.5,0.075,0.002,91.2,0.002,1.8
78.3,0.075,0.002,91.2,0.002,1.8
80.1,0.075,0.002,91.2,0.002,1.8
81.9,0.075,0.002,91.2,0.002,1.8
83.7,0.074,0.002,91.2,0.002,1.8
85.5,0.074,0.002,91.2,0.002,1.8
87.3,0.074,0.001,91.2,0.001,1.8
89.1,0.075,0.002,91.2,0.002,1.8
90.9,0.076,0.002,91.2,0.002,1.8
92.7,0.076,0.002,91.2,0.002,1.8
94.5,0.076,0.002,91.2,0.002,1.8
96.3,0.078,0.002,91.2,0.002,1.8
98.1,0.078,0.002,91.2,0.002,1.8
99.9,0.079,0.003,91.2,0.003,1.8
101.7,0.08,0.002,91.2,0.002,1.8
103.5,0.082,0.002,91.2,0.002,1.8
105.3,0.083,0.002,91.2,0.002,1.8
107.1,0.085,0.002,91.2,0.002,1.8
108.9,0.087,0.002,91.2,0.002,1.8
110.7,0.089,0.002,91.2,0.002,1.8
112.5,0.091,0.003,91.2,0.003,1.8
114.3,0.094,0.002,91.2,0.002,1.8
116.1,0.096,0.003,91.2,0.003,1.8
117.9,0.099,0.003,91.2,0.003,1.8
119.7,0.102,0.002,91.2,0.002,1.8
121.5,0.107,0.003,91.2,0.003,1.8
123.3,0.11,0.004,91.2,0.004,1.8
125.1,0.116,0.004,91.2,0.004,1.8
126.9,0.121,0.004,91.2,0.004,1.8
128.7,0.125,0.003,91.2,0.003,1.8
130.5,0.131,0.003,91.2,0.003,1.8
132.3,0.138,0.003,91.2,0.003,1.8
134.1,0.146,0.003,91.2,0.003,1.8
135.9,0.155,0.004,91.2,0.004,1.8
137.7,0.164,0.004,91.2,0.004,1.8
139.5,0.174,0.003,91.2,0.003,1.8
141.3,0.186,0.003,91.2,0.003,1.8
143.1,0.2,0.004,91.2,0.004,1.8
144.9,0.213,0.002,91.2,0.002,1.8
146.7,0.23,0.002,91.2,0.002,1.8
148.5,0.25,0.003,91.2,0.003,1.8
150.3,0.272,0.004,91.2,0.004,1.8
152.1,0.299,0.003,91.2,0.003,1.8
153.9,0.329,0.005,91.2,0.005,1.8
155.7,0.365,0.005,91.2,0.005,1.8
157.5,0.41,0.005,91.2,0.005,1.8
159.3,0.457,0.009,91.2,0.009,1.8
161.1,0.521,0.006,91.2,0.006,1.8
162.9,0.595,0.01,91.2,0.01,1.8
164.7,0.682,0.012,91.2,0.012,1.8
166.5,0.783,0.007,91.2,0.007,1.8
168.3,0.906,0.008,91.2,0.008,1.8
170.1,1.049,0.014,91.2,0.014,1.8
171.9,1.19,0.02,91.2,0.02,1.8
173.7,1.31,0.02,91.2,0.02,1.8
175.5,1.34,0.04,91.2,0.04,1.8
177.3,1.12,0.04,91.2,0.04,1.8
179.1,0.46,0.02,91.2,0.02,1.8
