CHI_LOW,CHI_UP,CHI,EEC,STAT,SYS,Q,ERROR,BinSize
3.6,7.2,5.4,1.316,0.0064,0.032,91.2,0.03263372488699382,3.6
7.2,10.8,9.0,0.874,0.0044,0.02,91.2,0.020478281177872325,3.6
10.8,14.4,12.6,0.598,0.0034,0.019,91.2,0.01930181338631166,3.6
14.4,18.0,16.2,0.425,0.0024,0.011,91.2,0.011258774356030055,3.6
18.0,21.6,19.8,0.31,0.0024,0.014,91.2,0.014204224723651763,3.6
21.6,25.2,23.4,0.241,0.0014,0.0054,91.2,0.005578530272392542,3.6
25.2,28.8,27.0,0.199,0.0014,0.0054,91.2,0.005578530272392542,3.6
28.8,32.4,30.6,0.168,0.0014,0.0064,91.2,0.00655133574166368,3.6
32.4,36.0,34.2,0.146,0.0014,0.0054,91.2,0.005578530272392542,3.6
36.0,39.6,37.8,0.128,0.0014,0.0044,91.2,0.004617358552246078,3.6
39.6,43.2,41.4,0.118,0.0014,0.0034,91.2,0.003676955262170047,3.6
43.2,46.8,45.0,0.1099,0.00084,0.003,91.2,0.003115381196579321,3.6
46.8,50.4,48.6,0.1014,0.00094,0.0035,91.2,0.0036240309049454865,3.6
50.4,54.0,52.2,0.0935,0.00084,0.0031,91.2,0.003211790777743781,3.6
54.0,57.6,55.8,0.0901,0.00094,0.0025,91.2,0.002670880004792428,3.6
57.6,61.2,59.4,0.0867,0.00084,0.0027,91.2,0.002827649200307563,3.6
61.2,64.8,63.0,0.0827,0.00094,0.0027,91.2,0.0028589508565206225,3.6
64.8,68.4,66.6,0.0802,0.0014,0.0022,91.2,0.0026076809620810596,3.6
68.4,72.0,70.2,0.0764,0.00094,0.0035,91.2,0.0036240309049454865,3.6
72.0,75.6,73.8,0.077,0.0014,0.0014,91.2,0.001979898987322333,3.6
75.6,79.2,77.4,0.0752,0.00084,0.0035,91.2,0.0035993888370110835,3.6
79.2,82.8,81.0,0.0736,0.00084,0.0017,91.2,0.0018962067397834024,3.6
82.8,86.4,84.6,0.0751,0.0014,0.0019,91.2,0.002360084744241189,3.6
86.4,90.0,88.2,0.0744,0.0014,0.0018,91.2,0.002280350850198276,3.6
90.0,93.6,91.8,0.0761,0.00094,0.0017,91.2,0.0019425756098540926,3.6
93.6,97.2,95.4,0.0764,0.00094,0.0029,91.2,0.0030485406344675807,3.6
97.2,100.8,99.0,0.0777,0.00094,0.0027,91.2,0.0028589508565206225,3.6
100.8,104.4,102.6,0.0809,0.0016,0.002,91.2,0.0025612496949731396,3.6
104.4,108.0,106.2,0.0834,0.0014,0.0028,91.2,0.0031304951684997056,3.6
108.0,111.6,109.8,0.0874,0.0014,0.0026,91.2,0.00295296461204668,3.6
111.6,115.2,113.4,0.0931,0.0017,0.0019,91.2,0.0025495097567963926,3.6
115.2,118.8,117.0,0.0968,0.0016,0.0042,91.2,0.004494441010848846,3.6
118.8,122.4,120.6,0.103,0.0016,0.0074,91.2,0.00757099729229908,3.6
122.4,126.0,124.2,0.111,0.0014,0.0024,91.2,0.0027784887978899607,3.6
126.0,129.6,127.8,0.121,0.0014,0.0074,91.2,0.007531268153505092,3.6
129.6,133.2,131.4,0.136,0.0024,0.0034,91.2,0.004161730409336962,3.6
133.2,136.8,135.0,0.151,0.0024,0.0044,91.2,0.005011985634456667,3.6
136.8,140.4,138.6,0.17,0.0024,0.0054,91.2,0.005909314681077663,3.6
140.4,144.0,142.2,0.193,0.0024,0.0064,91.2,0.006835202996254025,3.6
144.0,147.6,145.8,0.225,0.0024,0.0084,91.2,0.00873613186713662,3.6
147.6,151.2,149.4,0.265,0.0024,0.0074,91.2,0.00777946013551069,3.6
151.2,154.8,153.0,0.32,0.0034,0.0084,91.2,0.009062008607367352,3.6
154.8,158.4,156.6,0.39,0.0034,0.013,91.2,0.01343726162579266,3.6
158.4,162.0,160.2,0.491,0.0034,0.017,91.2,0.01733666634621547,3.6
162.0,165.6,163.8,0.636,0.0044,0.012,91.2,0.012781236246936367,3.6
165.6,169.2,167.4,0.847,0.0064,0.0074,91.2,0.009783659846908007,3.6
169.2,172.8,171.0,1.098,0.0054,0.0094,91.2,0.010840664186294122,3.6
172.8,176.4,174.6,1.276,0.0074,0.044,91.2,0.04461793361418702,3.6
176.4,180.0,178.2,0.764,0.0074,0.05,91.2,0.05054463374088292,3.6
