CHI,EEC,STAT,SYS,Q,ERROR,BinSize
5.4,0.285,0.014,0.014,22.0,0.019798989873223333,3.6
9.0,0.423,0.015,0.021,22.0,0.025806975801127882,3.6
12.6,0.48,0.015,0.024,22.0,0.028301943396169812,3.6
16.2,0.466,0.013,0.023,22.0,0.02641968962724581,3.6
19.8,0.455,0.013,0.023,22.0,0.02641968962724581,3.6
23.4,0.388,0.011,0.019,22.0,0.02195449840010015,3.6
27.0,0.362,0.01,0.018,22.0,0.020591260281974,3.6
30.6,0.308,0.0094,0.015,22.0,0.017701977290687048,3.6
34.2,0.299,0.0084,0.015,22.0,0.017191858538273284,3.6
37.8,0.24,0.0074,0.012,22.0,0.014098226838861687,3.6
41.4,0.235,0.0074,0.012,22.0,0.014098226838861687,3.6
45.0,0.211,0.0064,0.011,22.0,0.012726350615946427,3.6
48.6,0.193,0.0074,0.01,22.0,0.01244025723206719,3.6
52.2,0.186,0.0064,0.0094,22.0,0.011371895180663599,3.6
55.8,0.155,0.0054,0.0084,22.0,0.009985990186255941,3.6
59.4,0.153,0.0054,0.0084,22.0,0.009985990186255941,3.6
63.0,0.16,0.0064,0.0084,22.0,0.010560303025955268,3.6
66.6,0.146,0.0064,0.0074,22.0,0.009783659846908007,3.6
70.2,0.144,0.0064,0.0074,22.0,0.009783659846908007,3.6
73.8,0.142,0.0064,0.0074,22.0,0.009783659846908007,3.6
77.4,0.147,0.0064,0.0074,22.0,0.009783659846908007,3.6
81.0,0.13,0.0064,0.0074,22.0,0.009783659846908007,3.6
84.6,0.12,0.0054,0.0064,22.0,0.008373768566183328,3.6
88.2,0.141,0.0064,0.0074,22.0,0.009783659846908007,3.6
91.8,0.132,0.0054,0.0074,22.0,0.00916078599247903,3.6
95.4,0.129,0.0054,0.0064,22.0,0.008373768566183328,3.6
99.0,0.138,0.0054,0.0074,22.0,0.00916078599247903,3.6
102.6,0.14,0.0064,0.0074,22.0,0.009783659846908007,3.6
106.2,0.145,0.0064,0.0074,22.0,0.009783659846908007,3.6
109.8,0.147,0.0064,0.0074,22.0,0.009783659846908007,3.6
113.4,0.162,0.0064,0.0084,22.0,0.010560303025955268,3.6
117.0,0.185,0.0074,0.0094,22.0,0.011963277142990544,3.6
120.6,0.17,0.0074,0.0094,22.0,0.011963277142990544,3.6
124.2,0.222,0.0084,0.011,22.0,0.013840520221436763,3.6
127.8,0.219,0.0074,0.011,22.0,0.01325745073534124,3.6
131.4,0.245,0.0084,0.012,22.0,0.014647866738880444,3.6
135.0,0.25,0.0084,0.012,22.0,0.014647866738880444,3.6
138.6,0.273,0.0094,0.014,22.0,0.01686297719858507,3.6
142.2,0.292,0.0094,0.015,22.0,0.017701977290687048,3.6
145.8,0.402,0.011,0.02,22.0,0.022825424421026655,3.6
149.4,0.384,0.01,0.019,22.0,0.021470910553583886,3.6
153.0,0.456,0.013,0.023,22.0,0.02641968962724581,3.6
156.6,0.514,0.013,0.026,22.0,0.029068883707497266,3.6
160.2,0.592,0.016,0.03,22.0,0.033999999999999996,3.6
163.8,0.639,0.018,0.032,22.0,0.036715119501371636,3.6
167.4,0.705,0.021,0.035,22.0,0.040816663263917106,3.6
171.0,0.71,0.024,0.035,22.0,0.04243819034784589,3.6
174.6,0.555,0.026,0.028,22.0,0.0382099463490856,3.6
178.2,0.265,0.022,0.013,22.0,0.025553864678361272,3.6
