CHI,EEC,STAT,SYS,Q,ERROR,BinSize
5.4,1.037,0.027,0.04148,59.5,0.04949333692528723,3.6
9.0,0.85,0.017,0.034,59.5,0.03801315561749643,3.6
12.6,0.654,0.017,0.02616,59.5,0.031198487142808703,3.6
16.2,0.47,0.013,0.0188,59.5,0.02285694642772739,3.6
19.8,0.397,0.012,0.01588,59.5,0.019904130224654377,3.6
23.4,0.31,0.0084,0.0124,59.5,0.014977316181479242,3.6
27.0,0.244,0.0094,0.00976,59.5,0.013550557184116083,3.6
30.6,0.194,0.0074,0.00776,59.5,0.010722760838515425,3.6
34.2,0.176,0.0074,0.00704,59.5,0.010213794593587636,3.6
37.8,0.144,0.0064,0.00576,59.5,0.008610319390127175,3.6
41.4,0.145,0.0054,0.0058,59.5,0.007924645102463579,3.6
45.0,0.139,0.0054,0.00556,59.5,0.007750716095948812,3.6
48.6,0.114,0.0044,0.00456,59.5,0.006336686831460112,3.6
52.2,0.11,0.0054,0.0044,59.5,0.0069656299069072,3.6
55.8,0.101,0.0044,0.00404,59.5,0.005973407737631845,3.6
59.4,0.097,0.0044,0.00388,59.5,0.0058663787808153,3.6
63.0,0.092,0.0054,0.00368,59.5,0.006534707338511802,3.6
66.6,0.09,0.0054,0.0036,59.5,0.006489992295835181,3.6
70.2,0.086,0.0044,0.00344,59.5,0.00558512309622626,3.6
73.8,0.087,0.0044,0.00348,59.5,0.0056098484828023655,3.6
77.4,0.085,0.0044,0.0034,59.5,0.0055605755097831375,3.6
81.0,0.076,0.0054,0.00304,59.5,0.006196902452031983,3.6
84.6,0.097,0.0054,0.00388,59.5,0.0066493909495532,3.6
88.2,0.101,0.0064,0.00404,59.5,0.0075684608739161755,3.6
91.8,0.089,0.0054,0.00356,59.5,0.006467889918667448,3.6
95.4,0.094,0.0054,0.00376,59.5,0.006580091184778521,3.6
99.0,0.083,0.0054,0.00332,59.5,0.006338958905056887,3.6
102.6,0.101,0.0054,0.00404,59.5,0.006744004744956813,3.6
106.2,0.091,0.0054,0.00364,59.5,0.0065122653508591,3.6
109.8,0.098,0.0064,0.00392,59.5,0.00750509160503721,3.6
113.4,0.108,0.0064,0.00432,59.5,0.007721554247688739,3.6
117.0,0.107,0.0064,0.00428,59.5,0.007699246716400248,3.6
120.6,0.11,0.0074,0.0044,59.5,0.008609297300012354,3.6
124.2,0.126,0.0084,0.00504,59.5,0.009795999183340105,3.6
127.8,0.157,0.0084,0.00628,59.5,0.010488012204417002,3.6
131.4,0.146,0.0074,0.00584,59.5,0.009426855255067833,3.6
135.0,0.168,0.01,0.00672,59.5,0.012048169985520624,3.6
138.6,0.189,0.011,0.00756,59.5,0.013347419226202495,3.6
142.2,0.219,0.012,0.00876,59.5,0.014857240659018753,3.6
145.8,0.235,0.011,0.0094,59.5,0.014469277798148737,3.6
149.4,0.29,0.014,0.0116,59.5,0.01818130908378162,3.6
153.0,0.348,0.015,0.01392,59.5,0.020463782641535266,3.6
156.6,0.428,0.019,0.01712,59.5,0.025575269304544967,3.6
160.2,0.557,0.015,0.02228,59.5,0.02685886073533276,3.6
163.8,0.694,0.018,0.02776,59.5,0.03308500566722031,3.6
167.4,0.781,0.021,0.03124,59.5,0.03764223160228416,3.6
171.0,1.053,0.032,0.04212,59.5,0.05289701692912371,3.6
174.6,1.108,0.044,0.04432,59.5,0.06245208083002519,3.6
178.2,0.599,0.035,0.02396,59.5,0.04241558204245228,3.6
