pT,θ_lo,θ_hi,η_lo,η_hi,sqrts,AUT,error_stat,error_sys
6.874,0.0,0.5,0.0,0.9,200,0.00535,0.004,0.00028
8.018,0.0,0.5,0.0,0.9,200,0.0049,0.0029,0.0007
9.453,0.0,0.5,0.0,0.9,200,0.0082,0.0024,0.0010
11.085,0.0,0.5,0.0,0.9,200,0.0172,0.0023,0.0018
13.058,0.0,0.5,0.0,0.9,200,0.0249,0.0025,0.0021
15.195,0.0,0.5,0.0,0.9,200,0.0332,0.0031,0.0019
17.698,0.0,0.5,0.0,0.9,200,0.0385,0.004,0.0027
20.798,0.0,0.5,0.0,0.9,200,0.044,0.006,0.004
24.277,0.0,0.5,0.0,0.9,200,0.065,0.010,0.006
29.905,0.0,0.5,0.0,0.9,200,0.055,0.016,0.004
