pT,θ_lo,θ_hi,η_lo,η_hi,sqrts,AUT,error_stat,error_sys
13.1,0.0282998,0.0296659,0.0,0.9,200,0.0059,0.017,0.0006
13.1,0.0544158,0.0551428,0.0,0.9,200,0.0124,0.016,0.0006
13.1,0.0772218,0.0777369,0.0,0.9,200,0.0183,0.011,0.0021
13.1,0.109234,0.109964,0.0,0.9,200,0.0233,0.008,0.0015
13.1,0.147647,0.147918,0.0,0.9,200,0.0335,0.007,0.0031
13.1,0.184107,0.184326,0.0,0.9,200,0.0327,0.008,0.0025
13.1,0.222902,0.223083,0.0,0.9,200,0.0322,0.007,0.0031
13.1,0.264284,0.264742,0.0,0.9,200,0.0352,0.008,0.0021
13.1,0.314795,0.315182,0.0,0.9,200,0.0312,0.007,0.0024
13.1,0.477297,0.477558,0.0,0.9,200,0.0079,0.005,0.0020
